Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
67%;909;65%;Pop;64%;Mark Ambor;82;Today's Top Hits;Belong Together;16/02/24;1;2;2;49%;Mainstream
33%;910;78%;Pop;60%;Maroon 5;82;Soft Pop Hits;Memories;11/06/21;1;11;3;84%;Soft
86%;950;71%;Pop;81%;Maroon 5;82;Soft Pop Hits;This Love;24/06/05;0;5;3;5%;Soft
96%;129;58%;Pop;79%;Pitbull, Kesha;82;Throwback Party;Timber;04/07/05;1;11;3;3%;Throwback
80%;124;72%;Pop;72%;Pitbull, Ne-Yo;82;Throwback Party;Time of Our Lives;21/11/14;1;1;4;9%;Throwback
56%;105;83%;Pop;34%;Rauw Alejandro, Bad Bunny;82;Today's Top Hits;Qué Pasaría...;15/11/24;0;4;3;53%;Mainstream
56%;105;83%;Pop;34%;Rauw Alejandro, Bad Bunny;82;Global Top 50;Qué Pasaría...;15/11/24;0;4;3;53%;Global
75%;149;75%;Pop;76%;Shawn Mendes;82;Soft Pop Hits;Stitches;14/04/15;1;1;3;2%;Soft
81%;114;73%;Pop;77%;Timbaland, Keri Hilson, D.O.E.;82;Throwback Party;The Way I Are;01/01/07;1;6;3;18%;Throwback
65%;115;65%;Pop;30%;Ariana Grande;81;Today's Top Hits;we can't be friends (wait for your love);08/03/24;1;5;4;6%;Mainstream
78%;779;59%;Pop;43%;Avril Lavigne;81;Soft Pop Hits;Complicated;04/06/02;1;5;4;6%;Soft
70%;929;76%;Pop;91%;Britney Spears;81;Throwback Party;...Baby One More Time;12/01/99;0;0;4;20%;Throwback
86%;127;60%;Pop;74%;Calvin Harris;81;Throwback Party;Summer;31/10/14;0;4;4;2%;Throwback
59%;139;45%;Pop;21%;Coldplay;81;Soft Pop Hits;Paradise;24/10/11;1;5;5;5%;Soft
45%;789;78%;Pop;59%;Ed Sheeran;81;Soft Pop Hits;Thinking out Loud;21/06/14;1;2;5;47%;Soft
81%;119;85%;Pop;77%;Lady Gaga;81;Throwback Party;Poker Face;01/01/08;1;4;4;12%;Throwback
57%;111;46%;Pop;18%;Lewis Capaldi;81;Soft Pop Hits;Before You Go;22/11/19;1;3;4;61%;Soft
81%;949;84%;Pop;61%;Outkast;81;Throwback Party;Ms. Jackson;31/10/00;0;4;5;14%;Throwback
91%;112;67%;Pop;79%;Sabrina Carpenter;81;Today's Top Hits;Taste;23/08/24;0;0;3;9%;Mainstream
65%;968;63%;Pop;49%;Taylor Swift;81;Soft Pop Hits;Anti-Hero;21/10/22;1;4;3;12%;Soft
